ordering,agent_order,pos1,pos2,pos3,pos4,total_chains
Consumer_Advocate_Data_Science_Regulatory_Risk_Manager,"['Consumer_Advocate', 'Data_Science', 'Regulatory', 'Risk_Manager']",15.0,32.604166666666664,32.013888888888886,34.63541666666667,5760
Consumer_Advocate_Data_Science_Risk_Manager_Regulatory,"['Consumer_Advocate', 'Data_Science', 'Risk_Manager', 'Regulatory']",0.0,0.0,0.0,0.0,5760
Consumer_Advocate_Regulatory_Data_Science_Risk_Manager,"['Consumer_Advocate', 'Regulatory', 'Data_Science', 'Risk_Manager']",0.0,0.0,0.0,0.0,5760
Consumer_Advocate_Regulatory_Risk_Manager_Data_Science,"['Consumer_Advocate', 'Regulatory', 'Risk_Manager', 'Data_Science']",0.0,0.0,0.0,0.0,5760
Consumer_Advocate_Risk_Manager_Data_Science_Regulatory,"['Consumer_Advocate', 'Risk_Manager', 'Data_Science', 'Regulatory']",0.0,0.0,0.0,0.0,5760
Consumer_Advocate_Risk_Manager_Regulatory_Data_Science,"['Consumer_Advocate', 'Risk_Manager', 'Regulatory', 'Data_Science']",0.0,0.0,0.0,0.0,5760
Data_Science_Consumer_Advocate_Regulatory_Risk_Manager,"['Data_Science', 'Consumer_Advocate', 'Regulatory', 'Risk_Manager']",30.520833333333336,30.833333333333336,30.520833333333336,30.97222222222222,5760
Data_Science_Consumer_Advocate_Risk_Manager_Regulatory,"['Data_Science', 'Consumer_Advocate', 'Risk_Manager', 'Regulatory']",0.0,0.0,0.0,0.0,5760
Data_Science_Regulatory_Consumer_Advocate_Risk_Manager,"['Data_Science', 'Regulatory', 'Consumer_Advocate', 'Risk_Manager']",0.0,0.0,0.0,0.0,5760
Data_Science_Regulatory_Risk_Manager_Consumer_Advocate,"['Data_Science', 'Regulatory', 'Risk_Manager', 'Consumer_Advocate']",29.583333333333332,29.583333333333332,31.874999999999996,34.30555555555556,5760
Data_Science_Risk_Manager_Consumer_Advocate_Regulatory,"['Data_Science', 'Risk_Manager', 'Consumer_Advocate', 'Regulatory']",0.0,0.0,0.0,0.0,5760
Data_Science_Risk_Manager_Regulatory_Consumer_Advocate,"['Data_Science', 'Risk_Manager', 'Regulatory', 'Consumer_Advocate']",0.0,0.0,0.0,0.0,5760
Regulatory_Consumer_Advocate_Data_Science_Risk_Manager,"['Regulatory', 'Consumer_Advocate', 'Data_Science', 'Risk_Manager']",0.0,0.0,0.0,0.0,5760
Regulatory_Consumer_Advocate_Risk_Manager_Data_Science,"['Regulatory', 'Consumer_Advocate', 'Risk_Manager', 'Data_Science']",0.0,0.0,0.0,0.0,5760
Regulatory_Data_Science_Consumer_Advocate_Risk_Manager,"['Regulatory', 'Data_Science', 'Consumer_Advocate', 'Risk_Manager']",0.0,0.0,0.0,0.0,5760
Regulatory_Data_Science_Risk_Manager_Consumer_Advocate,"['Regulatory', 'Data_Science', 'Risk_Manager', 'Consumer_Advocate']",0.0,0.0,0.0,0.0,5760
Regulatory_Risk_Manager_Consumer_Advocate_Data_Science,"['Regulatory', 'Risk_Manager', 'Consumer_Advocate', 'Data_Science']",0.0,0.0,0.0,0.0,5760
Regulatory_Risk_Manager_Data_Science_Consumer_Advocate,"['Regulatory', 'Risk_Manager', 'Data_Science', 'Consumer_Advocate']",12.795138888888888,47.760416666666664,78.15972222222223,79.60069444444444,5760
Risk_Manager_Consumer_Advocate_Data_Science_Regulatory,"['Risk_Manager', 'Consumer_Advocate', 'Data_Science', 'Regulatory']",74.79166666666667,74.79166666666667,71.99652777777777,74.60069444444444,5760
Risk_Manager_Consumer_Advocate_Regulatory_Data_Science,"['Risk_Manager', 'Consumer_Advocate', 'Regulatory', 'Data_Science']",91.61458333333333,91.61458333333333,78.55902777777779,91.78819444444444,5760
Risk_Manager_Data_Science_Consumer_Advocate_Regulatory,"['Risk_Manager', 'Data_Science', 'Consumer_Advocate', 'Regulatory']",91.66666666666666,91.63194444444444,91.66666666666666,90.88541666666666,5760
Risk_Manager_Data_Science_Regulatory_Consumer_Advocate,"['Risk_Manager', 'Data_Science', 'Regulatory', 'Consumer_Advocate']",91.33680555555556,91.31944444444444,90.92013888888889,91.33680555555556,5760
Risk_Manager_Regulatory_Consumer_Advocate_Data_Science,"['Risk_Manager', 'Regulatory', 'Consumer_Advocate', 'Data_Science']",90.95486111111111,90.95486111111111,90.86805555555556,91.14583333333334,5760
Risk_Manager_Regulatory_Data_Science_Consumer_Advocate,"['Risk_Manager', 'Regulatory', 'Data_Science', 'Consumer_Advocate']",91.21527777777779,91.21527777777779,91.11111111111111,91.21527777777779,5760
