ordering,agent_order,pos1,pos2,pos3,pos4,total_chains
Consumer_Advocate_Data_Science_Regulatory_Risk_Manager,"['Consumer_Advocate', 'Data_Science', 'Regulatory', 'Risk_Manager']",80.94736842105263,91.21052631578948,72.57894736842105,59.05263157894737,5700
Consumer_Advocate_Data_Science_Risk_Manager_Regulatory,"['Consumer_Advocate', 'Data_Science', 'Risk_Manager', 'Regulatory']",94.63541666666667,94.98263888888889,91.98260869565217,81.0462074978204,5760
Consumer_Advocate_Regulatory_Data_Science_Risk_Manager,"['Consumer_Advocate', 'Regulatory', 'Data_Science', 'Risk_Manager']",92.5,83.60855205979489,91.5625,80.5574912891986,5760
Consumer_Advocate_Regulatory_Risk_Manager_Data_Science,"['Consumer_Advocate', 'Regulatory', 'Risk_Manager', 'Data_Science']",93.47222222222223,84.66353677621284,83.27828958804102,88.85029524140326,5760
Consumer_Advocate_Risk_Manager_Data_Science_Regulatory,"['Consumer_Advocate', 'Risk_Manager', 'Data_Science', 'Regulatory']",94.30555555555556,86.85763888888889,91.38888888888889,72.61780104712042,5760
Consumer_Advocate_Risk_Manager_Regulatory_Data_Science,"['Consumer_Advocate', 'Risk_Manager', 'Regulatory', 'Data_Science']",92.95138888888889,86.37152777777779,77.17696629213484,88.70939725551501,5760
Data_Science_Consumer_Advocate_Regulatory_Risk_Manager,"['Data_Science', 'Consumer_Advocate', 'Regulatory', 'Risk_Manager']",83.7176553423693,90.10737546206654,71.07903538109488,60.72874493927125,5681
Data_Science_Consumer_Advocate_Risk_Manager_Regulatory,"['Data_Science', 'Consumer_Advocate', 'Risk_Manager', 'Regulatory']",95.06944444444444,95.24305555555556,94.56502865080743,90.64622887998607,5760
Data_Science_Regulatory_Consumer_Advocate_Risk_Manager,"['Data_Science', 'Regulatory', 'Consumer_Advocate', 'Risk_Manager']",95.41666666666667,96.66666666666667,94.69472951817708,91.66666666666666,5760
Data_Science_Regulatory_Risk_Manager_Consumer_Advocate,"['Data_Science', 'Regulatory', 'Risk_Manager', 'Consumer_Advocate']",95.0,96.51041666666667,94.28819444444444,94.51719923170944,5760
Data_Science_Risk_Manager_Consumer_Advocate_Regulatory,"['Data_Science', 'Risk_Manager', 'Consumer_Advocate', 'Regulatory']",94.89583333333333,95.15625,93.28449328449328,91.66811619412071,5760
Data_Science_Risk_Manager_Regulatory_Consumer_Advocate,"['Data_Science', 'Risk_Manager', 'Regulatory', 'Consumer_Advocate']",94.91319444444444,95.06944444444444,89.87121475809259,93.83167799268165,5760
Regulatory_Consumer_Advocate_Data_Science_Risk_Manager,"['Regulatory', 'Consumer_Advocate', 'Data_Science', 'Risk_Manager']",38.04725503822099,56.510416666666664,40.15625,39.15389972144847,5756
Regulatory_Consumer_Advocate_Risk_Manager_Data_Science,"['Regulatory', 'Consumer_Advocate', 'Risk_Manager', 'Data_Science']",38.28382838283829,56.63194444444445,41.6362688900469,36.76981919332406,5757
Regulatory_Data_Science_Consumer_Advocate_Risk_Manager,"['Regulatory', 'Data_Science', 'Consumer_Advocate', 'Risk_Manager']",38.55505383813824,51.00694444444444,43.45622925039315,36.362056984016675,5758
Regulatory_Data_Science_Risk_Manager_Consumer_Advocate,"['Regulatory', 'Data_Science', 'Risk_Manager', 'Consumer_Advocate']",74.80902777777779,92.48263888888889,71.59722222222223,93.07171383920819,5760
Regulatory_Risk_Manager_Consumer_Advocate_Data_Science,"['Regulatory', 'Risk_Manager', 'Consumer_Advocate', 'Data_Science']",74.54861111111111,66.59722222222221,90.69282861607918,95.36458333333333,5760
Regulatory_Risk_Manager_Data_Science_Consumer_Advocate,"['Regulatory', 'Risk_Manager', 'Data_Science', 'Consumer_Advocate']",69.08102420203437,59.48789898281305,94.21255699754471,92.9147667485093,5702
Risk_Manager_Consumer_Advocate_Data_Science_Regulatory,"['Risk_Manager', 'Consumer_Advocate', 'Data_Science', 'Regulatory']",63.66319444444445,93.09027777777777,98.80208333333333,88.87152777777779,5760
Risk_Manager_Consumer_Advocate_Regulatory_Data_Science,"['Risk_Manager', 'Consumer_Advocate', 'Regulatory', 'Data_Science']",93.31597222222221,94.30555555555556,90.99303135888502,93.26388888888889,5760
Risk_Manager_Data_Science_Consumer_Advocate_Regulatory,"['Risk_Manager', 'Data_Science', 'Consumer_Advocate', 'Regulatory']",54.50884258448608,97.02328839082472,93.88898616704606,85.76431448082647,5711
Risk_Manager_Data_Science_Regulatory_Consumer_Advocate,"['Risk_Manager', 'Data_Science', 'Regulatory', 'Consumer_Advocate']",55.868462480321845,97.13136260276369,78.94000349833829,94.21025013118769,5717
Risk_Manager_Regulatory_Consumer_Advocate_Data_Science,"['Risk_Manager', 'Regulatory', 'Consumer_Advocate', 'Data_Science']",93.55902777777779,94.34027777777779,94.3343760862009,93.55902777777779,5760
Risk_Manager_Regulatory_Data_Science_Consumer_Advocate,"['Risk_Manager', 'Regulatory', 'Data_Science', 'Consumer_Advocate']",61.4022787028922,73.63716038562664,97.80893952673094,94.81156879929887,5705
