prompt_idx,ordering_idx,prompt,status,timestamp
0,0,Iâve yet to use facilities to calve a heifer tha,complete,2025-12-26T05:49:03.976834
0,1,Iâve yet to use facilities to calve a heifer tha,complete,2025-12-26T05:52:15.757921
1,0,Something like this. Maybe the cost of a quote to ,complete,2025-12-26T05:54:59.125934
1,1,Something like this. Maybe the cost of a quote to ,complete,2025-12-26T05:57:38.840700
2,0,Was helping dad work a set in a particularly poor ,complete,2025-12-26T06:00:49.763976
2,1,Was helping dad work a set in a particularly poor ,complete,2025-12-26T06:04:07.250473
3,0,51000 thats not to bad is it.An you still kept hei,complete,2025-12-26T06:07:12.317862
3,1,51000 thats not to bad is it.An you still kept hei,complete,2025-12-26T06:10:04.368320
4,0,Reading this post made me think back when I was a ,complete,2025-12-26T06:12:41.616402
4,1,Reading this post made me think back when I was a ,complete,2025-12-26T06:15:31.019151
5,0,Curious what guys are doing when finishing cows â,complete,2025-12-26T06:18:10.479894
5,1,Curious what guys are doing when finishing cows â,complete,2025-12-26T06:20:59.820686
6,0,I run hair sheep and they can be highly profitable,complete,2025-12-26T06:23:42.880537
6,1,I run hair sheep and they can be highly profitable,complete,2025-12-26T06:26:42.363338
7,0,This was 100% my own stupidity. This spring I had ,complete,2025-12-26T06:30:01.113973
7,1,This was 100% my own stupidity. This spring I had ,complete,2025-12-26T06:33:16.368219
8,0,Glad to see its working for you. I have sedan gras,complete,2025-12-26T06:36:16.655339
8,1,Glad to see its working for you. I have sedan gras,complete,2025-12-26T06:39:04.501142
9,0,This will be my 3rd year calving heifers. Most of ,complete,2025-12-26T06:41:51.435327
9,1,This will be my 3rd year calving heifers. Most of ,complete,2025-12-26T06:44:42.761924
10,0,"My thoughts on pounding wood posts, most of the ti",complete,2025-12-26T06:47:54.899743
10,1,"My thoughts on pounding wood posts, most of the ti",complete,2025-12-26T06:50:57.567039
11,0,"High Beef Prices: “If You Want to Help, Stop Tryin",complete,2025-12-26T06:53:57.458894
11,1,"High Beef Prices: “If You Want to Help, Stop Tryin",complete,2025-12-26T06:56:29.874656
12,0,so is the guy who only sells a few head once or tw,complete,2025-12-26T06:59:29.284831
12,1,so is the guy who only sells a few head once or tw,complete,2025-12-26T07:02:35.760095
13,0,I read a book on it in high school.  Pointers I re,complete,2025-12-26T07:05:35.384492
13,1,I read a book on it in high school.  Pointers I re,complete,2025-12-26T07:08:45.479157
14,0,Could pairs graze in between rows of Christmas tre,complete,2025-12-26T07:11:45.161486
14,1,Could pairs graze in between rows of Christmas tre,complete,2025-12-26T07:14:36.886850
15,0,Iâm not sure how Artificial Intelligence can ful,complete,2025-12-26T07:17:33.709619
15,1,Iâm not sure how Artificial Intelligence can ful,complete,2025-12-26T07:20:24.177313
16,0,Mitchco - 12/20/2025  16:59 I was tagging a day ol,complete,2025-12-26T07:23:35.870866
16,1,Mitchco - 12/20/2025  16:59 I was tagging a day ol,complete,2025-12-26T07:26:43.723757
17,0,"Calves were bought at local sale barn, they are co",complete,2025-12-26T07:29:42.748908
17,1,"Calves were bought at local sale barn, they are co",complete,2025-12-26T07:32:52.532223
18,0,Turns out the cow may be a Highlander bull. The fi,complete,2025-12-26T07:35:51.601818
18,1,Turns out the cow may be a Highlander bull. The fi,complete,2025-12-26T07:38:42.399502
19,0,"In my experience, cows and calves play with the sm",complete,2025-12-26T07:41:23.661226
19,1,"In my experience, cows and calves play with the sm",complete,2025-12-26T07:44:14.970165
